Price;ft2;Location;No. of Bedrooms
2451000;650;Dwarka Mor;2
3325000;415;Sector 23 Dwarka;1
4200000;900;Dwarka Mor;2
6500000;1250;Dwarka Mor;4
3000000;680;Dwarka Mor;3
7000000;1200;Dwarka Mor;3
5000000;850;Dwarka Mor;3
4500000;800;Dwarka Mor;3
2700000;550;Dwarka Mor;2
5000000;950;Uttam Nagar;3
4575000;1000;Uttam Nagar;3
16000000;1700;Sector 10 Dwarka;3
5150000;900;Uttam Nagar;3
9200000;1450;Uttam Nagar;4
7000000;1080;Dwarka Mor;3
2800000;500;Dwarka Mor;2
2200000;450;Dwarka Mor;2
3700000;675;Dwarka Mor;3
10000000;1485;Dwarka Mor;4
4700000;875;Dwarka Mor;3
7000000;1080;Dwarka Mor;4
4100000;750;Dwarka Mor;3
3500000;600;Dwarka Mor;2
2300000;480;Dwarka Mor;1
4242000;850;Uttam Nagar;3
12200000;1300;Sector 19 Dwarka;2
11500000;1300;Sector 3 Dwarka;2
12400000;1350;Rohini sector 24;3
5100000;900;Palam;3
3500000;850;Uttam Nagar;3
11000000;1000;Sector 13 Rohini;2
2500000;450;Sector 28 Rohini;1
12500000;850;Rohini Sector 9;2
2800000;650;Uttam Nagar;2
5100000;900;Uttam Nagar;3
2751000;650;Uttam Nagar;2
3800000;675;Bindapur;3
4000000;500;Sector 24 Rohini;2
